Designator,Footprint,Quantity,Value,LCSC Part #
C1,603,1,10u,C19702
"C10, C11, C14, C15, C17, C4, C5, C6, C7, C9",603,10,10uF,C19702
C12,603,1,50pF,C107231
"C13, C18, C19, C8",603,4,10nF,C100042
C16,C_Radial_D8.0mm_H11.5mm_P3.50mm,1,220uF,C107639
"C2, C3",603,2,51pF,C107231
D1,D_SOD-123,1,D,C83528
MK1,POM-2244P-C3310-2-R,1,Microphone,C20200111
"Q10, Q11, Q13, Q14, Q8, Q9",SOT-23,6,Q_NPN_BEC,C3199172
Q2,TO-92,1,2N2222,C118536
R1,603,1,110K,C14675
"R10, R11, R16, R17, R6, R7",603,6,1K,C22548
"R12, R18, R5",603,3,100R,C105588
"R13, R15",603,2,15K,C114661
"R14, R21, R23, R3",603,4,22K,C31850
"R19, R20, R4",603,3,100K,C14675
R2,603,1,680K,C137690
"R22, R9",603,2,10K,C98220
"RV1, RV2",Potentiometer_Bourns_3386P_Vertical,2,R_Potentiometer,
"TP1, TP2, TP4",TestPoint_Loop_D2.50mm_Drill1.0mm,3,TestPoint,
"TP5, TP6",TestPoint_Pad_D4.0mm,2,TestPoint,
"TP7, TP8",TestPoint_Plated_Hole_D2.0mm,2,TestPoint,
"U1, U2, U3",SOIC-8_3.9x4.9mm_P1.27mm,3,NCS20072D,C89845
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,LM386,C23573
Y1,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C37635384
